,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,-0.0067383186,-0.006881561,0.0062851366,-0.0069068857,-3.6374295e-05,0.00664921,0.009450234,-0.0067545385,0.004489225,0.006673627,-0.0069765844,-0.0069076736,-2.4221423e-05,0.0062807626,0.0066440045,-0.0064412453,-0.009548926,-0.006714247,-1.9950363e-05,-0.009584802,-0.009550767,-0.006773284,-0.0066594887,0.0094787795,-2.2153583e-05,0.0065152613,-4.5161464e-06,0.0033745223,-2.0323998e-05,-2.3657107e-05,-0.009553753,-0.009556088,-0.006550636,0.00676435,-3.1917996e-05,-0.0095482245,-0.009550314,-3.0251267e-05,-0.0095754005,0.006762974,-2.4983692e-05,-0.0068348097,0.0067751408,-0.009564312,-1.2644121e-05,-2.5247784e-05,-2.6117621e-05,0.0053236308,-2.9977567e-05,-1.5908634e-05,0.005624824,-0.006668336,-0.006626396,-0.006670609,-0.0063123605,0.006413711,-0.009553934,0.009498183,-1.6017866e-05,-2.3038301e-05,-0.009548627,-3.5939418e-05,-0.0069836034,-2.186194e-05,-6.6822276e-06,-0.009548052,-0.009556897,-2.2968767e-05,-0.0068068616,-2.5445594e-05,-0.00656707,-3.711239e-05,0.0069237337,-4.2130006e-05,-2.6362723e-05,-1.9773766e-05,-0.006808373,-0.009551262,-1.9195688e-05,0.0060591516,-2.339543e-05,-2.6482858e-05,-0.0069093164,-1.4402038e-05,-2.685787e-05,0.0066581257,-0.009560287,-0.0064849067,-0.006722439,-9.639814e-06,0.009462537,-0.0095726615,-0.0067002247,0.006533308,-0.009592056,-0.009570606,-0.006883495,-2.0297304e-05,-2.2867693e-05,0.005936148,-0.0095821405,-0.009553146,-3.338265e-05,-0.0067080758,-0.006645307,-2.8687984e-05,-0.0066623376,-0.009555014,0.0059635583,-0.009556706,-0.006959604,-0.0066132983,-2.733186e-05,-0.009560357,-0.0095688095,-0.006747885,-1.067301e-05,0.0056157196,-0.009544919,0.005329536,-0.009548744,-2.518616e-05,-0.006481956,-0.00957817,-2.0032016e-05,-0.009564133,0.0060678264,0.0069700903,0.0066371276,-0.006523212,-0.0069541936,-3.883632e-05,-0.0095485225,-0.00700815,-0.0067073912,-6.0776556e-06,-1.6775111e-05,-2.384176e-05,-0.0068934993,-1.5704703e-05,0.0062033264,-2.3239892e-05,-3.795191e-05,-1.8699979e-05,-0.0070023234,0.006268079,0.0062654763,-1.9712923e-05,-0.009552705,-3.4693177e-05
1,-0.0066207503,-0.006753865,0.006159043,-0.0067656543,1.2939386e-06,0.0065016467,0.006926398,-0.006606124,0.004541066,0.006575103,-0.0068498785,-0.0067777433,-1.0773178e-05,0.006206421,0.0065198164,-0.0063099978,-0.0069484143,-0.0065902607,2.6101454e-06,-0.006979085,-0.007008262,-0.0066338964,-0.0065128915,0.006909053,-7.0818132e-06,0.006386338,-1.6237016e-06,0.0034756288,8.0504105e-07,-1.0249987e-05,-0.0069492,-0.006976201,-0.0064421264,0.0066543743,3.9972156e-06,-0.006947237,-0.00695098,-1.9840372e-06,-0.006949024,0.0066485684,-9.393734e-07,-0.006709509,0.0066470997,-0.006947153,-6.7365154e-06,-2.2836066e-06,3.1655263e-06,0.005318508,-7.5833887e-06,-5.232657e-07,0.005590115,-0.006553828,-0.006522835,-0.0065461444,-0.006227482,0.006295043,-0.0069568167,0.0069102985,-1.8602702e-07,-1.3847139e-06,-0.0069619664,4.7100475e-06,-0.00685918,-1.6961372e-05,-4.935969e-06,-0.0069476394,-0.0069803516,-7.7272944e-08,-0.006648856,-7.3631863e-06,-0.00648915,9.4772895e-07,0.006801826,-1.9270647e-06,-9.618557e-07,-1.4272637e-06,-0.0066452543,-0.0069477824,-8.551448e-06,0.0059836437,1.0795961e-06,-1.1967495e-05,-0.006789182,-1.0253528e-05,2.986545e-06,0.0065505994,-0.0069496958,-0.006375219,-0.006596056,-2.1097774e-06,0.00692695,-0.006965061,-0.0065723853,0.0064247022,-0.0069826953,-0.0070084296,-0.0067643183,4.9810924e-06,1.8645865e-06,0.0058616064,-0.0069498043,-0.0069491654,-4.6925734e-06,-0.0065995553,-0.0065450324,6.0811976e-06,-0.0065537984,-0.00696229,0.0059105908,-0.007005437,-0.0068267626,-0.0065027345,-4.3346517e-09,-0.006944696,-0.0069524623,-0.0066363113,1.21836e-06,0.005569379,-0.0069457763,0.005302626,-0.0069523365,-2.7883843e-06,-0.0063796206,-0.0069570565,-1.38250525e-05,-0.0070133754,0.005992421,0.0068407613,0.0064881234,-0.006421456,-0.0068350816,-7.5603184e-06,-0.006955257,-0.006898307,-0.0065693306,-3.9887673e-06,-1.2047043e-05,4.3141426e-07,-0.006764102,-9.85024e-07,0.00611183,-9.983323e-06,-1.50905435e-05,-1.1042626e-05,-0.0068676993,0.0061752503,0.006210755,-1.89519e-06,-0.007010024,3.1345003e-06
2,-0.005985052,-0.006104521,0.0055486616,-0.006107032,-2.9153276e-05,0.0058521405,0.007742091,-0.0059711346,0.0041507194,0.0059000175,-0.0062223338,-0.006144843,-2.9421279e-05,0.0056047104,0.005873299,-0.0057005477,-0.0078046727,-0.0059683113,-1.6264059e-05,-0.0077955853,-0.007805253,-0.0059931506,-0.005918873,0.007738154,-2.4256133e-05,0.005760713,-3.1755967e-06,0.0031693573,-2.0677468e-05,-1.5257311e-05,-0.007798721,-0.007802722,-0.0058390843,0.006010427,-1.6194128e-05,-0.007820822,-0.007796586,-2.285777e-05,-0.007838898,0.0059917485,-1.6586857e-05,-0.0060600257,0.0060236445,-0.0077953637,-1.606335e-05,-1.6657747e-05,-2.1556734e-05,0.0048372904,-2.5800991e-05,-1.3131028e-05,0.0050216783,-0.0059392825,-0.0058845966,-0.0059168874,-0.005621872,0.005679859,-0.007816513,0.007752238,-8.212815e-06,-1.7536862e-05,-0.007819296,-2.7122907e-05,-0.0061852173,-2.1190972e-05,-6.3958896e-06,-0.007818803,-0.007830251,-3.5203575e-05,-0.0060127997,-2.089076e-05,-0.0058583533,-1.6821536e-05,0.006121469,-2.5605492e-05,-2.3927063e-05,-1.586913e-05,-0.0060179075,-0.007810572,-3.2891705e-05,0.005390807,-2.4838224e-05,-1.9470119e-05,-0.0061221225,-1.2416143e-05,-3.1358373e-05,0.0059009176,-0.007860156,-0.0057538776,-0.0059578205,-9.812582e-06,0.007775578,-0.007813856,-0.0059288493,0.005794617,-0.007820469,-0.0077994773,-0.006130311,-1.7711001e-05,-1.8609304e-05,0.005316217,-0.0077995663,-0.00783195,-2.9569363e-05,-0.005952564,-0.0059021763,-2.4927238e-05,-0.0059177396,-0.007857763,0.0053130197,-0.0077959606,-0.0061658337,-0.0058735753,-2.33545e-05,-0.007838909,-0.007852115,-0.005979987,-1.0714215e-05,0.0050591556,-0.0078057726,0.0048133577,-0.0078080003,-1.6653024e-05,-0.0057500545,-0.0078012343,-1.6422475e-05,-0.00786167,0.005412537,0.0061535523,0.0058582188,-0.0058007822,-0.006177461,-2.0191113e-05,-0.007800734,-0.006218934,-0.005931699,-6.9303187e-06,-1.4144571e-05,-1.545531e-05,-0.006136639,-1.035218e-05,0.0054804557,-1.5707566e-05,-2.372076e-05,-1.44176e-05,-0.0062039625,0.0055858414,0.0055827824,-2.3763992e-05,-0.007800771,-3.5229266e-05
3,-0.006561019,-0.0066640982,0.0060793054,-0.0066718897,-3.163362e-05,0.006420147,0.009408286,-0.0065303496,0.004416713,0.0064627826,-0.0067598075,-0.006691968,-3.4049266e-05,0.006106867,0.0064331996,-0.0062287995,-0.009467278,-0.0065185064,-1.6639107e-05,-0.009473465,-0.009487321,-0.0065721157,-0.0064688884,0.00934423,-2.8968272e-05,0.0063033653,-2.4510632e-06,0.0033141866,-1.8460243e-05,-2.5830748e-05,-0.009506858,-0.009463511,-0.0063541173,0.0065496312,-2.0225209e-05,-0.009464583,-0.009462184,-1.3928342e-05,-0.009474167,0.0065490846,-1.4804492e-05,-0.0066385977,0.0065635447,-0.0094816815,-1.2027824e-05,-1.5373651e-05,-3.1934884e-05,0.0052332603,-2.0394466e-05,-1.5204904e-05,0.0054734964,-0.006467722,-0.0064270035,-0.006490653,-0.0061347974,0.0061884,-0.009472382,0.009388871,-8.505905e-06,-1.916611e-05,-0.009460165,-2.8290091e-05,-0.006789507,-1.521846e-05,-6.1549226e-06,-0.009465185,-0.009458782,-3.367805e-05,-0.0065630693,-2.080154e-05,-0.006379293,-3.681873e-05,0.006697318,-1.8461791e-05,-1.721177e-05,-2.1658594e-05,-0.0065602404,-0.009471159,-1.6573369e-05,0.0058936235,-2.126222e-05,-3.2171956e-05,-0.006702584,-2.1826852e-05,-3.0916122e-05,0.0064290613,-0.0094640395,-0.006280952,-0.0065108654,-6.0656657e-06,0.009345436,-0.009469432,-0.0064772083,0.0063351667,-0.009459378,-0.009487289,-0.0066663544,-2.39426e-05,-1.4794888e-05,0.0057741846,-0.009510396,-0.009489796,-1.6310032e-05,-0.006524914,-0.0064358804,-1.5153836e-05,-0.0064569428,-0.009511286,0.005806221,-0.009475782,-0.006751359,-0.0064359726,-1.4421457e-05,-0.009491259,-0.009461682,-0.0065407455,-1.0230444e-05,0.0054715355,-0.009464025,0.005196633,-0.009475674,-3.748775e-05,-0.0062977164,-0.009476088,-1.44215655e-05,-0.009469427,0.005909255,0.0067423726,0.006401723,-0.0063309018,-0.0067215427,-2.1180773e-05,-0.009474981,-0.006782374,-0.006483848,-4.9652417e-06,-1.3374568e-05,-2.0710304e-05,-0.006677459,-1.0502531e-05,0.00599873,-1.8934745e-05,-1.7260549e-05,-1.5374422e-05,-0.006801301,0.0060878196,0.006096951,-2.6288268e-05,-0.009459466,-1.925976e-05
4,-0.0071392725,-0.0072985888,0.0066730436,-0.007291124,-8.281289e-06,0.0070326943,0.008706062,-0.007129815,0.0048902924,0.0071130353,-0.007404875,-0.007327134,-3.7599298e-06,0.0067043956,0.0070682857,-0.006846515,-0.008770439,-0.0071078558,-1.7176215e-05,-0.008799957,-0.0087983,-0.007194302,-0.0070261955,0.008680051,-6.269087e-06,0.006926578,2.365249e-08,0.0036123197,-3.8606295e-06,-1.3354918e-05,-0.008803374,-0.008793681,-0.0069936537,0.007180903,-1.7336733e-05,-0.008781307,-0.008827412,4.6464493e-07,-0.0088324845,0.007180754,-2.0814845e-05,-0.007236625,0.007202134,-0.0087735355,-2.4782194e-06,1.3034619e-06,3.8069747e-06,0.005767358,-1.1622903e-05,-3.554949e-06,0.0060321256,-0.0070721144,-0.007069405,-0.0070665977,-0.006764438,0.0068045314,-0.008779929,0.008680276,-2.290648e-06,-1.3532461e-05,-0.008784323,-5.918709e-06,-0.007389939,-4.0852474e-06,-3.3026436e-06,-0.008774924,-0.0088342605,-1.0156111e-05,-0.0071905944,-1.3026114e-06,-0.0069979005,-1.7924618e-05,0.0073564053,-3.4235768e-07,-9.302119e-06,-4.3984073e-06,-0.007171493,-0.008792874,-2.2504225e-06,0.006512604,-6.6987864e-06,1.0916472e-06,-0.0073108915,-7.1006757e-06,3.7864288e-07,0.007053369,-0.008766254,-0.006877491,-0.0071181376,-3.0110573e-06,0.008684168,-0.008806766,-0.007084494,0.006955124,-0.008828614,-0.008835516,-0.0073157926,-1.138931e-05,-8.3095574e-07,0.0063602133,-0.008779371,-0.00877663,-8.832389e-06,-0.0071406765,-0.0070612887,1.7054474e-06,-0.0070643635,-0.008786417,0.006399441,-0.008830448,-0.0073576914,-0.0070346394,-4.5244906e-06,-0.008809066,-0.008772038,-0.007143794,-7.1188288e-06,0.006031156,-0.008768367,0.0057613533,-0.008776719,-1.4645344e-05,-0.0068949256,-0.008777345,-7.659253e-06,-0.00877442,0.0064970637,0.007389113,0.0070274295,-0.0069626602,-0.00735689,-1.7755569e-06,-0.008788541,-0.0073994985,-0.007087571,-1.2778912e-06,-1.3338617e-05,-9.270163e-06,-0.007334049,-3.2690152e-06,0.0066075986,2.7094122e-06,-1.8532114e-06,-1.5731897e-05,-0.0074030897,0.0066915397,0.0067046583,-4.6715386e-06,-0.008771071,-1.9625648e-05
5,-0.0070577026,-0.00716133,0.006552184,-0.0071818144,-7.637736e-06,0.006912945,0.007987922,-0.007020837,0.0048020915,0.006979065,-0.0072818617,-0.0071868324,-8.535992e-06,0.0065732654,0.006933232,-0.0066997297,-0.007998685,-0.0069895037,4.6618698e-06,-0.008008116,-0.008007047,-0.0070394366,-0.006908235,0.007924931,-7.689347e-06,0.0067934645,4.824801e-07,0.0035840338,6.533357e-06,-1.401685e-06,-0.008016531,-0.008048383,-0.0068627526,0.007074393,2.6697949e-06,-0.0079948,-0.007997961,-4.437731e-06,-0.007996875,0.0070546577,2.7812166e-06,-0.007116206,0.0070686955,-0.008056833,-5.282715e-06,-2.6904572e-06,7.757519e-06,0.0056545055,8.7140506e-07,-6.8205145e-06,0.0059384773,-0.0069554616,-0.0069132587,-0.006947222,-0.0066062305,0.006680657,-0.007998674,0.0079301605,9.018654e-07,-8.760293e-06,-0.007991355,-2.5768713e-07,-0.007257219,-3.3019178e-06,-3.710985e-07,-0.008003721,-0.007999432,-2.6151547e-06,-0.0070535396,-1.2068613e-05,-0.006874588,6.000402e-06,0.0072072987,-1.5552796e-05,1.6985759e-06,5.0052768e-06,-0.0070531094,-0.008009144,-4.736331e-06,0.006366682,-6.5116737e-06,2.2815502e-06,-0.0071910433,-9.9984545e-06,4.255048e-06,0.0069288793,-0.007994752,-0.00675988,-0.007005505,6.902355e-07,0.007981908,-0.00801351,-0.006965197,0.006831221,-0.008050296,-0.008021325,-0.0071630995,6.1595274e-06,-1.8420988e-06,0.0062630237,-0.008017398,-0.008014839,4.5848938e-06,-0.0070179123,-0.0069509195,-4.1892054e-06,-0.0069443765,-0.008013801,0.006298109,-0.007992489,-0.0072834725,-0.006900317,-5.6825156e-06,-0.0080001345,-0.008000192,-0.0070254845,1.0177204e-06,0.0059536397,-0.007997659,0.0056210924,-0.007998538,-5.035399e-06,-0.0068033426,-0.008057654,-1.2994704e-05,-0.0080050025,0.0063754013,0.007255808,0.006899939,-0.006835757,-0.0072196503,-2.3390312e-06,-0.008053969,-0.007279025,-0.006990103,-1.1014398e-06,-6.954466e-06,4.657638e-06,-0.0071791476,-5.1501647e-06,0.0064751203,-2.9202547e-06,2.7249753e-06,2.0451027e-06,-0.0072786044,0.006571198,0.006611602,-3.6645406e-06,-0.00800864,4.4502276e-06
6,-0.0071110497,-0.0072699585,0.0066126254,-0.0072668255,-9.055518e-06,0.0069919396,0.008633377,-0.0071005295,0.00478689,0.0070473184,-0.0073554553,-0.007286765,-3.7696964e-06,0.00663481,0.0070147905,-0.0067978906,-0.008676606,-0.007106818,-5.1971374e-06,-0.008674994,-0.008706187,-0.007127558,-0.0069920328,0.008652541,-4.020021e-06,0.00686774,-1.4013569e-06,0.0035525889,-1.0758634e-05,-1.1903886e-05,-0.008674535,-0.00872398,-0.006904321,0.007146904,-1.1461916e-05,-0.008705514,-0.008683521,-5.303398e-06,-0.008738317,0.0071426798,-2.426957e-05,-0.007212952,0.0071552545,-0.008737743,-4.381239e-06,-1.560918e-05,-1.9001332e-05,0.005697144,-1.7230392e-05,-9.1676075e-06,0.005952382,-0.0070485263,-0.0069948547,-0.0070462725,-0.00667902,0.0067477953,-0.008682635,0.008595259,-6.26606e-06,-5.249122e-06,-0.008710816,-2.7343694e-06,-0.007392804,-2.3220593e-05,-6.910386e-06,-0.008738887,-0.008737,-2.2245971e-05,-0.0071431715,-1.0168711e-05,-0.0069343164,-7.4510954e-06,0.0073056147,-6.8305203e-06,-2.0647287e-05,-6.373307e-06,-0.007142508,-0.008688906,-5.2579853e-06,0.0064464393,-6.232805e-06,-8.4095955e-06,-0.007285688,-1.4579042e-05,-3.212122e-06,0.007010192,-0.008737656,-0.0068367776,-0.007093103,-1.9553838e-06,0.008588173,-0.008695865,-0.00707798,0.006905914,-0.00873826,-0.008694377,-0.007260219,-2.2297556e-05,-1.0702349e-05,0.006298018,-0.008671816,-0.008677606,-1.5886058e-05,-0.0070932345,-0.0070261084,-1.941571e-05,-0.0070468355,-0.008689718,0.006320329,-0.008682008,-0.007337886,-0.0069811884,-6.932102e-06,-0.008732991,-0.008674698,-0.0071118944,-8.581531e-06,0.0059516146,-0.008712701,0.0056959996,-0.008689969,-2.4797595e-05,-0.006830497,-0.008681928,-1.6131133e-05,-0.008736307,0.006466816,0.007361708,0.0069798045,-0.0068902858,-0.0073205987,-2.1252772e-05,-0.008677556,-0.007386385,-0.007057904,-1.5381105e-06,-1.3998544e-05,-6.89366e-06,-0.0072984262,-6.848833e-06,0.006534842,-1.3084411e-05,-4.692224e-06,-1.4743728e-05,-0.007383068,0.006633376,0.0066313073,-1.529536e-05,-0.008691094,-2.3314573e-05
7,-0.0048620817,-0.0049724104,0.004471904,-0.0049693254,-4.542095e-05,0.0047431975,0.0077446015,-0.004855744,0.0033963667,0.004778019,-0.0050336663,-0.004998991,-4.2464537e-05,0.004487508,0.0047608525,-0.0046407594,-0.0077727525,-0.0048692594,-4.1798223e-05,-0.0077680796,-0.0077746524,-0.004912571,-0.004805094,0.007745221,-5.2973133e-05,0.004636983,-7.3211286e-06,0.0027035242,-5.4499433e-05,-5.68115e-05,-0.0077715334,-0.0077759963,-0.0047273813,0.0048198514,-4.755726e-05,-0.0077881105,-0.007781189,-3.975159e-05,-0.0077765426,0.0048209294,-6.213048e-05,-0.0049324175,0.0048281304,-0.007829905,-2.4147537e-05,-5.4364667e-05,-5.461987e-05,0.0038862303,-4.9168637e-05,-2.0162302e-05,0.00406453,-0.0048414404,-0.0047917203,-0.004810704,-0.0045780023,0.0045672203,-0.007834879,0.0077794692,-2.5723584e-05,-4.921995e-05,-0.007776975,-6.068412e-05,-0.005032565,-6.8099725e-05,-1.2682108e-05,-0.007834044,-0.007770864,-4.530024e-05,-0.0049011623,-4.2420477e-05,-0.0047528697,-5.2703585e-05,0.004931091,-5.1701027e-05,-6.003204e-05,-4.5102253e-05,-0.0048845,-0.007797756,-5.122214e-05,0.004360247,-3.6646416e-05,-4.803991e-05,-0.0049824496,-3.2225566e-05,-4.1596453e-05,0.004731104,-0.0077738096,-0.0046803667,-0.004847791,-1.6336382e-05,0.0077233617,-0.0077722496,-0.004838221,0.0046617147,-0.007775408,-0.007776651,-0.0049649114,-4.677469e-05,-4.806872e-05,0.0042798924,-0.0078033223,-0.0077728946,-5.0400915e-05,-0.0048491326,-0.0048133065,-5.041952e-05,-0.0048158723,-0.007830821,0.004295409,-0.007822043,-0.005018755,-0.0047806962,-5.9900463e-05,-0.007774572,-0.00783263,-0.004878008,-1.6816148e-05,0.00408162,-0.0077694384,0.0038786605,-0.007833232,-4.9263806e-05,-0.004684341,-0.0077813454,-5.4202355e-05,-0.007799928,0.004355152,0.004973797,0.004732245,-0.004721144,-0.0050078277,-6.118341e-05,-0.0077881473,-0.005056201,-0.004833984,-1.2081972e-05,-4.2987365e-05,-4.7023976e-05,-0.0050002537,-3.1776886e-05,0.0044186735,-4.740176e-05,-5.555388e-05,-5.0198403e-05,-0.0050567156,0.0044842064,0.0044837063,-4.7467478e-05,-0.007781664,-4.6327095e-05
8,-0.007543632,-0.007694533,0.00702874,-0.0077055003,-1.1389044e-05,0.007427771,0.008412265,-0.0075270594,0.0050569186,0.0074901935,-0.0078081433,-0.007725173,6.2807408e-06,0.0070539447,0.0074556107,-0.007177718,-0.008539598,-0.0075033014,4.7621133e-06,-0.008477343,-0.008479816,-0.0075578066,-0.0074173566,0.008423641,-2.609706e-06,0.0073311664,-1.1433907e-06,0.0037098983,1.0984227e-05,5.9044146e-06,-0.008473893,-0.008525234,-0.0073273564,0.0075919223,4.2447587e-06,-0.00849641,-0.008482456,-3.1551263e-06,-0.008532372,0.0075925016,-8.650568e-07,-0.0076603466,0.0076160114,-0.0084746545,7.277895e-07,-5.158561e-06,1.0742982e-05,0.005995828,8.029681e-06,-2.8853974e-06,0.0063310033,-0.0074622333,-0.00741727,-0.007488854,-0.0070740106,0.0071730195,-0.008494637,0.008406921,-1.1993045e-06,-6.2787876e-06,-0.008474485,9.186443e-06,-0.007800507,3.4217355e-06,-2.5062056e-06,-0.008478566,-0.008478555,-6.351929e-07,-0.007600455,-5.772232e-06,-0.0073549515,-1.2656867e-05,0.007779627,6.968094e-08,-9.878502e-06,2.3651032e-06,-0.007571132,-0.0085210735,-4.4682292e-06,0.006822113,-4.097481e-06,-4.231224e-06,-0.007724298,1.6336351e-06,2.4044034e-06,0.00745703,-0.00848928,-0.0072593563,-0.0075208815,-1.6602496e-06,0.008441025,-0.008543428,-0.0074757384,0.0073767216,-0.008533254,-0.008480142,-0.0077007925,7.77514e-06,8.345415e-06,0.006673737,-0.008512525,-0.0084855,9.641156e-06,-0.0075074793,-0.0074282335,-4.900474e-06,-0.0074711666,-0.0084825205,0.0067162127,-0.008475513,-0.0077819135,-0.007408876,1.068193e-05,-0.00849617,-0.00847838,-0.0075422605,8.9125365e-08,0.006343061,-0.008474172,0.00598221,-0.008476294,3.9424567e-06,-0.007249323,-0.0084888,9.629479e-06,-0.008487389,0.0068413042,0.007848411,0.007420204,-0.0073174494,-0.0077602463,-2.0436346e-08,-0.008537738,-0.007843113,-0.0074812863,-1.7278228e-06,-9.291889e-06,8.863124e-06,-0.00770843,-3.689077e-06,0.0069481176,2.1308624e-06,8.344038e-06,6.7809897e-06,-0.00783599,0.0070900815,0.0070488844,4.3608725e-06,-0.008498911,3.5629073e-06
9,-0.0063642967,-0.006501361,0.005890328,-0.006516292,-3.0464911e-05,0.006244411,0.009493109,-0.0063517657,0.0042825015,0.0062860227,-0.0066096024,-0.0065602926,-2.677047e-05,0.0059035458,0.006275018,-0.0060492866,-0.009573708,-0.006331632,-3.033273e-05,-0.009603254,-0.00956591,-0.0064050914,-0.0062694373,0.009465509,-3.0638752e-05,0.0061390125,-5.793353e-06,0.0031809658,-3.780886e-05,-3.4938228e-05,-0.0095607275,-0.0095604025,-0.0061922013,0.0063789245,-3.1492975e-05,-0.009619754,-0.009559368,-4.0832416e-05,-0.009556263,0.006399648,-4.842989e-05,-0.0064563826,0.0063869837,-0.009599891,-1.3973092e-05,-3.2503776e-05,-2.6369478e-05,0.005020179,-3.682455e-05,-1.7211873e-05,0.0052857683,-0.006327036,-0.0062636007,-0.006331701,-0.0059715984,0.006004215,-0.009578276,0.009474922,-1.3062552e-05,-2.7897257e-05,-0.009556749,-2.73318e-05,-0.0066404557,-3.4187455e-05,-8.442375e-06,-0.0095646,-0.009589502,-2.9442577e-05,-0.0063981297,-3.0291927e-05,-0.006236054,-2.6346304e-05,0.006528149,-4.336142e-05,-3.095925e-05,-3.6413072e-05,-0.0063934987,-0.00961767,-3.178394e-05,0.005703877,-3.1643915e-05,-2.591548e-05,-0.006527234,-2.3752513e-05,-2.5393614e-05,0.006258343,-0.009620196,-0.0061459634,-0.006341865,-9.698054e-06,0.00944556,-0.009623949,-0.006308193,0.00615471,-0.009561645,-0.00956444,-0.006514637,-2.5664453e-05,-2.9434907e-05,0.00560411,-0.009590316,-0.009584428,-3.098699e-05,-0.006338022,-0.0062659215,-2.7184931e-05,-0.0062871836,-0.009610213,0.005662282,-0.0096168555,-0.0065805214,-0.0062551303,-3.7209687e-05,-0.009559056,-0.009619963,-0.006373614,-9.965785e-06,0.005313247,-0.00956704,0.0049974513,-0.0095609715,-3.2162192e-05,-0.0061443066,-0.009620724,-3.7435315e-05,-0.009595547,0.0057132808,0.0065915333,0.0062228753,-0.0061761676,-0.0065589463,-3.2510445e-05,-0.009579705,-0.006617782,-0.0063273814,-7.0660585e-06,-1.9051991e-05,-3.387802e-05,-0.0065127397,-1.6268441e-05,0.005844362,-2.744334e-05,-2.983599e-05,-3.0968175e-05,-0.0066173626,0.005914484,0.0059116567,-3.3978293e-05,-0.009590473,-4.3851633e-05
