,0,1
0,0.243063,0.75693697
1,0.5908009,0.40919647
2,0.23929363,0.76070637
3,0.27537438,0.72462535
4,0.6235142,0.37648317
5,0.6225906,0.37740675
6,0.38563028,0.6143685
7,0.6233275,0.37666985
8,0.2320404,0.7679597
9,0.62270516,0.37729222
10,0.6222617,0.37773564
11,0.59311754,0.40687987
12,0.5292485,0.47074923
13,0.577374,0.42262346
14,0.54597,0.45402753
15,0.22943403,0.77056605
16,0.6233218,0.37667555
17,0.6234962,0.37650117
18,0.62154657,0.37845078
19,0.24027108,0.75972897
20,0.55432075,0.4456768
21,0.22748521,0.7725149
22,0.45139223,0.54860604
23,0.43250975,0.56748873
24,0.24233967,0.7576604
25,0.6235065,0.3764908
26,0.623339,0.37665835
27,0.619615,0.3803823
28,0.60901004,0.39098734
29,0.62329406,0.37670332
30,0.5958829,0.40411445
31,0.6190848,0.38091257
32,0.62323093,0.3767664
33,0.5296412,0.47035646
34,0.6232175,0.37677982
35,0.2459625,0.75403744
36,0.33245426,0.6675451
37,0.6141318,0.3858655
38,0.23179354,0.76820654
39,0.6098903,0.390107
40,0.6209107,0.37908664
41,0.23309189,0.7669081
42,0.38825744,0.6117414
43,0.61797696,0.38202044
44,0.5352556,0.464742
45,0.6094761,0.3905213
46,0.40367162,0.59632707
47,0.62341225,0.37658507
48,0.57119864,0.42879885
49,0.22795172,0.77204835
50,0.6235413,0.37645605
51,0.6128769,0.38712043
52,0.6235318,0.37646553
53,0.60334253,0.39665478
54,0.26494625,0.7350536
55,0.61772317,0.38227418
56,0.6109938,0.3890035
57,0.6235344,0.37646297
58,0.23888461,0.76111543
59,0.6099575,0.3900398
60,0.3126282,0.6873713
61,0.56054884,0.43944865
62,0.623482,0.37651533
63,0.59826505,0.40173233
64,0.2933568,0.70664287
65,0.31549728,0.6845021
66,0.5643829,0.43561456
67,0.23062342,0.76937664
68,0.31074792,0.6892516
69,0.57131535,0.42868206
70,0.62352127,0.37647602
71,0.6224863,0.37751102
72,0.61146003,0.38853726
73,0.23130748,0.7686926
74,0.62339,0.3766073
75,0.62300944,0.37698787
76,0.62195516,0.37804216
77,0.6210125,0.37898484
78,0.61886936,0.38112795
79,0.60182565,0.39817166
80,0.49520716,0.5047908
81,0.5869748,0.4130226
82,0.60090107,0.39909628
83,0.62348586,0.37651148
84,0.54090786,0.4590897
85,0.5770262,0.42297122
86,0.60970604,0.3902912
87,0.59796834,0.40202898
88,0.2368214,0.76317865
89,0.62338,0.3766173
90,0.6230186,0.37697867
91,0.6234166,0.37658072
92,0.6232233,0.37677407
93,0.39737472,0.60262406
94,0.30912286,0.69087666
95,0.24451736,0.7554826
96,0.6096211,0.39037627
97,0.24433953,0.7556605
98,0.60995376,0.3900436
99,0.59684384,0.40315348
100,0.6226486,0.37734878
101,0.62075645,0.37924096
102,0.55668676,0.44331074
103,0.59562266,0.40437472
104,0.2354643,0.7645358
105,0.2343905,0.76560956
106,0.2507997,0.7492003
107,0.24346256,0.75653744
108,0.5631945,0.43680298
109,0.5982564,0.40174094
110,0.26282895,0.737171
111,0.22968404,0.77031606
112,0.24400719,0.7559928
113,0.555926,0.44407147
114,0.57544553,0.42455184
115,0.578748,0.42124945
116,0.62330264,0.37669462
117,0.62334186,0.37665546
118,0.23329134,0.7667087
119,0.57388043,0.42611694
120,0.2553375,0.7446624
121,0.23476955,0.7652305
122,0.6231139,0.37688345
123,0.6234647,0.37653264
124,0.6235776,0.37641978
125,0.2385487,0.76145136
126,0.62311673,0.37688062
127,0.6213697,0.3786276
128,0.23175791,0.7682421
129,0.5950302,0.4049672
130,0.6047061,0.39529124
131,0.59380734,0.40619004
132,0.6106978,0.3892995
133,0.62342864,0.37656868
134,0.239389,0.76061106
135,0.23574392,0.7642561
136,0.59677297,0.40322432
137,0.62301177,0.37698558
138,0.6234294,0.37656793
139,0.62341756,0.37657982
140,0.30587482,0.69412476
141,0.6228613,0.377136
142,0.6234258,0.3765715
143,0.62347305,0.3765243
144,0.6235372,0.3764601
145,0.6228794,0.377118
146,0.25636938,0.7436306
147,0.62213933,0.377858
148,0.23902938,0.76097065
149,0.5947183,0.40527904
150,0.3098801,0.69011945
151,0.6022821,0.39771524
152,0.34705728,0.6529419
153,0.6227166,0.37728074
154,0.2519947,0.74800533
155,0.6233914,0.37660593
156,0.62342614,0.37657124
157,0.27867344,0.7213263
158,0.24313924,0.7568608
159,0.59658056,0.4034168
160,0.6235285,0.37646884
161,0.23877631,0.76122373
162,0.62328947,0.37670788
163,0.59806263,0.40193474
164,0.32335746,0.67664194
165,0.25800037,0.7419995
166,0.60033226,0.3996651
167,0.58408934,0.41590807
168,0.5791764,0.42082095
169,0.23551704,0.76448303
170,0.59988594,0.40011135
171,0.59026295,0.40973446
172,0.56299573,0.4370017
173,0.6091961,0.39080125
174,0.593097,0.40690035
175,0.623263,0.37673432
176,0.6234988,0.3764985
177,0.6232102,0.37678713
178,0.23429808,0.76570195
179,0.23700033,0.7629997
180,0.23403807,0.7659619
181,0.62178993,0.3782074
182,0.23347892,0.76652116
183,0.61130214,0.38869515
184,0.34016562,0.6598336
185,0.61949366,0.38050365
186,0.61208534,0.387912
187,0.6021939,0.39780346
188,0.5787732,0.42122418
189,0.2570901,0.74290985
190,0.26969865,0.73030114
191,0.5716322,0.42836523
192,0.5964225,0.40357488
193,0.6100819,0.3899154
194,0.6106453,0.38935205
195,0.6231559,0.37684143
196,0.62354547,0.3764519
197,0.23516768,0.7648324
198,0.6022559,0.39774144
199,0.2319394,0.7680607
200,0.22967416,0.7703259
201,0.5922806,0.4077167
202,0.62271774,0.37727958
203,0.6228207,0.37717664
204,0.6228303,0.3771671
205,0.60840446,0.39159286
206,0.61498547,0.38501185
207,0.6235168,0.37648052
208,0.6234779,0.37651944
209,0.60784405,0.39215332
210,0.6148076,0.38518974
211,0.23790373,0.76209635
212,0.5902726,0.4097248
213,0.25830218,0.7416977
214,0.6233986,0.37659878
215,0.32662573,0.67337364
216,0.24335468,0.7566453
217,0.4720815,0.52791655
218,0.5778723,0.42212513
219,0.6043032,0.39569414
220,0.56233305,0.43766442
221,0.26247725,0.7375226
222,0.5972335,0.40276387
223,0.6219476,0.37804976
224,0.6235647,0.3764326
225,0.59643704,0.4035603
226,0.60766065,0.39233664
227,0.23678765,0.7632124
228,0.6235586,0.37643877
229,0.24190722,0.75809276
230,0.24134187,0.7586581
231,0.6230001,0.37699726
232,0.60776734,0.39222994
233,0.2405217,0.75947833
234,0.61507565,0.3849217
235,0.5603537,0.43964377
236,0.6077947,0.39220265
237,0.62352717,0.37647015
238,0.61772805,0.38226926
239,0.62341595,0.3765814
240,0.23300964,0.7669904
241,0.5683916,0.43160582
242,0.6071799,0.3928174
243,0.58070487,0.41929254
244,0.60173213,0.39826518
245,0.26085284,0.73914707
246,0.60073036,0.39926702
247,0.23096408,0.769036
248,0.24016978,0.75983024
249,0.22941628,0.7705838
250,0.61167985,0.38831747
251,0.6231742,0.3768231
252,0.6185817,0.38141564
253,0.6212321,0.37876526
254,0.6232877,0.37670967
255,0.606271,0.3937263
256,0.6232873,0.37671006
257,0.62243885,0.37755856
258,0.6232067,0.37679067
259,0.41138518,0.58861345
260,0.5735323,0.42646512
261,0.5901006,0.40989682
262,0.24064209,0.75935787
263,0.621914,0.37808332
264,0.58152056,0.41847685
265,0.26994243,0.7300574
266,0.31937534,0.6806241
267,0.5390855,0.4609121
268,0.27071115,0.72928864
269,0.56951046,0.43048704
270,0.62349653,0.3765008
271,0.6204881,0.3795093
272,0.623554,0.3764434
273,0.5968882,0.4031092
274,0.6232473,0.37675002
275,0.6230166,0.37698075
276,0.43399268,0.56600577
277,0.62325186,0.37674543
278,0.6039522,0.39604512
279,0.6234859,0.37651142
280,0.5741382,0.42585918
281,0.23147164,0.76852846
282,0.6229736,0.37702367
283,0.23151262,0.76848745
284,0.56030273,0.43969473
285,0.2531976,0.74680233
286,0.580212,0.41978538
287,0.6232734,0.37672392
288,0.59094155,0.4090558
289,0.22738783,0.7726122
290,0.6235672,0.37643006
291,0.62169665,0.37830067
292,0.50914663,0.49085122
293,0.23374306,0.76625705
294,0.24142897,0.7585711
295,0.23548432,0.76451576
296,0.6234302,0.37656713
297,0.5499681,0.45002943
298,0.5750597,0.42493767
299,0.54421914,0.45577845
300,0.428212,0.57178646
301,0.37753788,0.622461
302,0.6233646,0.37663272
303,0.5667212,0.43327627
304,0.36718208,0.632817
305,0.23050772,0.7694924
306,0.6173403,0.382657
307,0.6189965,0.38100088
308,0.6167697,0.38322765
309,0.62323684,0.3767605
310,0.62177104,0.37822628
311,0.2319433,0.7680568
312,0.2937198,0.7062798
313,0.62318796,0.37680936
314,0.6234598,0.37653756
315,0.53672725,0.46327037
316,0.6233995,0.37659782
317,0.31568128,0.6843181
318,0.6116032,0.3883941
319,0.6229485,0.37704882
320,0.5706385,0.429359
321,0.2879433,0.7120564
322,0.59938186,0.40061548
323,0.5925629,0.40743443
324,0.23438199,0.765618
325,0.6234511,0.37654623
326,0.6235331,0.3764642
327,0.594598,0.40539935
328,0.61612344,0.38387388
329,0.2699051,0.73009473
330,0.60896516,0.3910322
331,0.6234223,0.37657502
332,0.23450598,0.7654941
333,0.24008505,0.759915
334,0.26532605,0.7346738
335,0.22672215,0.77327794
336,0.60411805,0.3958793
337,0.5834949,0.41650248
338,0.24388665,0.7561134
339,0.62336224,0.37663516
340,0.62315047,0.37684688
341,0.5879336,0.4120638
342,0.6218397,0.37815765
343,0.23708859,0.76291144
344,0.58443314,0.41556424
345,0.6034876,0.39650977
346,0.27087137,0.7291284
347,0.62340283,0.37659448
348,0.6233031,0.3766942
349,0.31451088,0.68548864
350,0.576809,0.42318845
351,0.5994451,0.4005522
352,0.22913092,0.77086914
353,0.5789236,0.4210738
354,0.2360501,0.76394993
355,0.5096197,0.4903781
356,0.62305677,0.37694052
357,0.623513,0.3764843
358,0.2553607,0.7446392
359,0.5996733,0.40032405
360,0.6233941,0.3766033
361,0.62346804,0.37652925
362,0.6198986,0.3800987
363,0.5708153,0.4291821
364,0.32610184,0.67389756
365,0.611817,0.3881803
366,0.62349516,0.37650216
367,0.6234938,0.3765035
368,0.55576795,0.4442296
369,0.62343067,0.37656668
370,0.23624696,0.7637531
371,0.37812313,0.62187576
372,0.60687494,0.39312235
373,0.57921696,0.42078042
374,0.24677904,0.7532209
375,0.5914633,0.40853402
376,0.41579098,0.5842076
377,0.6213349,0.3786624
378,0.6075079,0.39248946
379,0.25299418,0.7470058
380,0.55994755,0.44005
381,0.42700857,0.57298994
382,0.62341505,0.37658226
383,0.23104908,0.768951
384,0.5490116,0.45098597
385,0.23142499,0.7685751
386,0.62353504,0.37646234
387,0.6051304,0.394867
388,0.51822025,0.48177752
389,0.6209424,0.3790549
390,0.61801827,0.38197905
391,0.6123527,0.38764462
392,0.30101895,0.69898057
393,0.23843303,0.761567
394,0.30036017,0.69963944
395,0.24459393,0.7554061
396,0.2419207,0.7580793
397,0.6083153,0.3916821
398,0.62340504,0.37659228
399,0.5847758,0.4152216
400,0.5755807,0.4244167
401,0.6225622,0.3774351
402,0.62330014,0.37669718
403,0.37154403,0.628455
404,0.23207012,0.76793
405,0.5946967,0.40530065
406,0.62311244,0.37688488
407,0.59388304,0.4061143
408,0.5822144,0.417783
409,0.6187284,0.381269
410,0.5218414,0.47815636
411,0.58871555,0.41128176
412,0.23495403,0.765046
413,0.6208352,0.3791622
414,0.6075256,0.39247176
415,0.2801985,0.7198012
416,0.6002215,0.39977577
417,0.28132623,0.7186735
418,0.6231228,0.37687457
419,0.62346053,0.37653682
420,0.62348473,0.37651256
421,0.62330455,0.37669283
422,0.6232246,0.37677276
423,0.6231471,0.37685025
424,0.26989764,0.7301022
425,0.60093826,0.3990591
426,0.5182435,0.48175427
427,0.2364387,0.76356137
428,0.6227352,0.37726215
429,0.62336123,0.37663615
430,0.58150697,0.41849044
431,0.5374555,0.4625421
432,0.6234495,0.37654784
433,0.5209656,0.47903216
434,0.35152835,0.6484709
435,0.25396717,0.7460328
436,0.2297648,0.7702353
437,0.280598,0.7194017
438,0.6131421,0.38685524
439,0.28541908,0.71458066
440,0.6089511,0.3910462
441,0.23531862,0.7646814
442,0.62359524,0.37640208
443,0.6050153,0.3949821
444,0.22827208,0.77172804
445,0.25772437,0.74227554
446,0.61331314,0.38668418
447,0.60423213,0.39576522
448,0.58372283,0.41627455
449,0.22935772,0.7706424
450,0.60005295,0.3999444
451,0.6234939,0.37650344
452,0.6125313,0.38746604
453,0.62354195,0.37645543
454,0.62277216,0.37722516
455,0.56609696,0.43390054
456,0.6234984,0.37649897
457,0.6234353,0.37656197
458,0.62326366,0.37673363
459,0.6183805,0.38161683
460,0.6231848,0.37681252
461,0.6235559,0.37644145
462,0.28180057,0.7181992
463,0.5570688,0.44292864
464,0.5994173,0.40058002
465,0.24474548,0.75525457
466,0.6232777,0.37671956
467,0.38497704,0.6150218
468,0.6235728,0.3764245
469,0.62310255,0.37689477
470,0.24325873,0.7567412
471,0.5879119,0.4120855
472,0.6020431,0.39795426
473,0.2371027,0.7628974
474,0.6204885,0.3795088
475,0.2491253,0.75087464
476,0.22882472,0.7711754
477,0.6000392,0.39995816
478,0.27377263,0.72622716
479,0.6015599,0.3984375
480,0.59442043,0.40557694
481,0.5767089,0.4232885
482,0.6049562,0.3950411
483,0.24514337,0.7548566
484,0.57218724,0.42781022
485,0.24424455,0.7557554
486,0.4978043,0.50219357
487,0.6232973,0.37670007
488,0.5074449,0.49255288
489,0.23341443,0.76658565
490,0.2442652,0.7557348
491,0.6030979,0.3968994
492,0.25970516,0.7402947
493,0.62333816,0.37665924
494,0.5856631,0.4143343
495,0.61542505,0.3845723
496,0.54175484,0.45824274
497,0.6234634,0.37653393
498,0.5730035,0.42699397
499,0.23662864,0.7633714
500,0.6234605,0.37653688
501,0.6160361,0.3839612
502,0.6234941,0.37650323
503,0.29985744,0.7001422
504,0.6191347,0.38086262
505,0.6229195,0.37707782
506,0.6233673,0.37663
507,0.6234738,0.37652358
508,0.61855555,0.3814418
509,0.62346834,0.376529
510,0.6098174,0.39017993
511,0.5983465,0.4016509
512,0.6120382,0.3879591
513,0.6000415,0.39995587
514,0.60505867,0.39493865
515,0.58376634,0.41623104
516,0.6144706,0.38552675
517,0.24321114,0.75678885
518,0.6110107,0.3889867
519,0.6233163,0.37668106
520,0.48959872,0.5103992
521,0.28150058,0.7184991
522,0.62322515,0.37677217
523,0.6151216,0.38487568
524,0.6235621,0.37643525
525,0.6235002,0.37649712
526,0.26507014,0.7349297
527,0.62320995,0.37678742
528,0.6215151,0.37848222
529,0.33529183,0.6647074
530,0.6233174,0.37667993
531,0.62321675,0.37678057
532,0.6200847,0.37991264
533,0.59860605,0.40139127
534,0.6029306,0.39706674
535,0.25047976,0.74952024
536,0.59757704,0.40242034
537,0.6233101,0.37668726
538,0.61101025,0.3889871
539,0.59065306,0.40934432
540,0.60046285,0.39953455
541,0.60887074,0.3911266
542,0.24069962,0.7593004
543,0.58933043,0.41066697
544,0.2393034,0.76069665
545,0.24905163,0.7509483
546,0.6231917,0.37680566
547,0.22640319,0.77359694
548,0.22997665,0.77002347
549,0.58734864,0.41264874
550,0.6233714,0.3766259
551,0.24952982,0.7504701
552,0.61007506,0.38992226
553,0.23164225,0.7683578
554,0.23528448,0.7647156
555,0.62312496,0.37687236
556,0.6055277,0.39446965
557,0.584374,0.41562337
558,0.62350297,0.3764944
559,0.24813211,0.7518679
560,0.27284452,0.72715527
561,0.57112247,0.42887497
562,0.62275505,0.3772423
563,0.25312433,0.7468756
564,0.62304395,0.37695336
565,0.62318134,0.37681597
566,0.29564413,0.7043555
567,0.62353384,0.3764635
568,0.61844987,0.38154742
569,0.6037314,0.39626592
570,0.24531938,0.75468063
571,0.23884097,0.76115906
572,0.22912921,0.7708709
573,0.59923464,0.40076268
574,0.62345946,0.37653783
575,0.6231147,0.3768826
576,0.54686946,0.45312813
577,0.22758524,0.77241486
578,0.6231338,0.3768635
579,0.25667655,0.7433234
580,0.6234701,0.3765272
581,0.6234384,0.37655893
582,0.59617186,0.40382552
583,0.55328894,0.44670856
584,0.62317866,0.3768187
585,0.60401905,0.3959783
586,0.6231471,0.37685022
587,0.48865703,0.5113409
588,0.23803104,0.761969
589,0.6235132,0.3764841
590,0.5919763,0.40802106
591,0.6006752,0.3993221
592,0.23552288,0.7644772
593,0.40916595,0.59083265
594,0.6123329,0.38766444
595,0.6186779,0.3813194
596,0.6232986,0.37669876
597,0.6016014,0.3983959
598,0.28366292,0.71633685
599,0.2888647,0.71113497
600,0.6074607,0.3925367
601,0.62301344,0.37698394
602,0.24712157,0.7528784
603,0.59885037,0.40114698
604,0.53001314,0.46998456
605,0.35673317,0.6432659
606,0.5978976,0.4020998
607,0.62345165,0.37654573
608,0.44261417,0.55738413
609,0.6233841,0.37661317
610,0.6221968,0.37780052
611,0.2839687,0.71603096
612,0.5958587,0.40413868
613,0.57524455,0.4247529
614,0.55557257,0.44442496
615,0.6234192,0.37657812
616,0.6232494,0.3767479
617,0.58557963,0.4144177
618,0.6046765,0.39532086
619,0.613747,0.38625035
620,0.622962,0.37703535
621,0.62312645,0.3768709
622,0.62324435,0.37675303
623,0.22950129,0.77049875
624,0.6201855,0.37981185
625,0.23020524,0.7697948
626,0.23672757,0.76327246
627,0.5804835,0.41951385
628,0.56466055,0.43533692
629,0.6107963,0.38920102
630,0.60217714,0.3978202
631,0.5594635,0.440534
632,0.5948209,0.4051764
633,0.5946155,0.40538186
634,0.2418318,0.7581682
635,0.31900525,0.6809942
636,0.6225277,0.37746963
637,0.61330694,0.3866904
638,0.23148283,0.7685172
639,0.6217093,0.37828803
640,0.5994495,0.4005478
641,0.37583175,0.62416726
642,0.51730007,0.4826977
643,0.55772686,0.44227064
644,0.22903767,0.7709624
645,0.6070085,0.3929888
646,0.5911156,0.40888175
647,0.23750171,0.76249826
648,0.6224259,0.37757146
649,0.61238045,0.3876168
650,0.23741768,0.76258236
651,0.6232751,0.37672222
652,0.61462235,0.385375
653,0.5467247,0.45327294
654,0.26932308,0.7306767
655,0.62330383,0.37669355
656,0.6235196,0.37647775
657,0.62198526,0.37801206
658,0.5759049,0.4240925
659,0.5945274,0.40546995
660,0.62261117,0.37738618
661,0.23431821,0.7656818
662,0.25086614,0.74913377
663,0.56416124,0.43583623
664,0.6080845,0.39191288
665,0.5377524,0.46224523
666,0.6140307,0.38596663
667,0.23197798,0.76802206
668,0.6210376,0.37895977
669,0.23175071,0.7682494
670,0.5437653,0.45623228
671,0.6235487,0.37644863
672,0.589881,0.41011637
673,0.5227493,0.47724837
674,0.62341565,0.37658173
675,0.56378394,0.43621355
676,0.6225888,0.37740853
677,0.6115355,0.3884618
678,0.56608593,0.43391153
679,0.23761043,0.7623896
680,0.26756865,0.73243123
681,0.6234674,0.37652993
682,0.22954687,0.7704532
683,0.6234765,0.37652087
684,0.6001171,0.39988026
685,0.23779787,0.76220214
686,0.6230705,0.37692684
687,0.6235244,0.3764729
688,0.62330794,0.37668934
689,0.6228913,0.377106
690,0.5934472,0.40655017
691,0.23191588,0.76808417
692,0.5488035,0.45119402
693,0.6234709,0.37652647
694,0.6034028,0.39659455
695,0.5674214,0.43257612
696,0.62306917,0.37692812
697,0.623454,0.37654334
698,0.61766154,0.3823358
699,0.6234474,0.37654987
700,0.58531004,0.41468734
701,0.23343001,0.76657003
702,0.6089888,0.3910085
703,0.24403365,0.75596637
704,0.6072692,0.39272815
705,0.6234726,0.37652478
706,0.62323636,0.37676102
707,0.22943114,0.77056897
708,0.5951023,0.40489507
709,0.5733968,0.4266006
710,0.39581713,0.60418165
711,0.4604117,0.5395865
712,0.44156066,0.55843765
713,0.59902525,0.40097213
714,0.263644,0.73635584
715,0.6235017,0.3764956
716,0.62338537,0.37661192
717,0.61046064,0.38953674
718,0.62327194,0.3767254
719,0.5528567,0.44714087
720,0.6230932,0.3769042
721,0.6083636,0.39163372
722,0.60523796,0.39475936
723,0.6080866,0.3919108
724,0.2905398,0.70945984
725,0.59235936,0.40763804
726,0.28294426,0.71705544
727,0.4377656,0.5622328
728,0.62241834,0.377579
729,0.6180611,0.38193622
730,0.47486436,0.52513367
731,0.6187443,0.381253
732,0.6233722,0.37662515
733,0.23294547,0.7670546
734,0.6208685,0.3791288
735,0.23651308,0.7634869
736,0.6234464,0.3765509
737,0.62339735,0.3766
738,0.57686365,0.42313376
739,0.6111271,0.38887018
740,0.62315166,0.37684566
741,0.6233904,0.37660694
742,0.6078923,0.39210504
743,0.6010453,0.39895204
744,0.62247,0.3775273
745,0.24245264,0.7575474
746,0.6235205,0.37647685
747,0.62109524,0.3789021
748,0.24618526,0.75381476
749,0.61189675,0.3881006
750,0.2286224,0.7713777
751,0.6235268,0.3764705
752,0.57620436,0.42379302
753,0.62172323,0.3782741
754,0.24314456,0.7568554
755,0.6231774,0.3768199
756,0.23194812,0.7680519
757,0.23011373,0.7698864
758,0.22822185,0.7717782
759,0.23136556,0.7686345
760,0.27218527,0.7278145
761,0.62278116,0.37721613
762,0.603194,0.39680335
763,0.57856625,0.42143115
764,0.5780823,0.42191514
765,0.5722302,0.4277672
766,0.23904884,0.7609512
767,0.572028,0.42796943
768,0.5919709,0.40802643
769,0.6227938,0.37720355
770,0.4022663,0.5977324
771,0.623349,0.37664834
772,0.24972291,0.75027704
773,0.6230822,0.37691513
774,0.6121112,0.38788614
775,0.6216778,0.3783195
776,0.6105935,0.3894038
777,0.5935353,0.40646207
778,0.62146914,0.37852815
779,0.62349135,0.37650597
780,0.6112186,0.38877878
781,0.6029813,0.39701602
782,0.28548458,0.7145151
783,0.22686806,0.773132
784,0.26788512,0.7321147
785,0.26330367,0.7366962
786,0.60645515,0.39354217
787,0.6235036,0.3764937
788,0.31087932,0.68912023
789,0.24598777,0.7540122
790,0.36954948,0.63044953
791,0.6133475,0.38664988
792,0.5691588,0.43083867
793,0.5885065,0.41149086
794,0.61730653,0.3826908
795,0.58268815,0.41730925
796,0.6204625,0.3795349
797,0.62337506,0.3766223
798,0.60922784,0.39076945
799,0.6045453,0.39545202
800,0.6234773,0.37652007
801,0.6235427,0.37645465
802,0.5646098,0.43538767
803,0.2334404,0.76655966
804,0.6235198,0.37647754
805,0.5999127,0.4000846
806,0.25706476,0.7429352
807,0.6231008,0.3768965
808,0.6235292,0.3764681
809,0.5681487,0.43184876
810,0.603622,0.39637527
811,0.23438753,0.7656125
812,0.23479296,0.7652071
813,0.60543144,0.39456588
814,0.22650057,0.7734995
815,0.60975605,0.39024127
816,0.5832821,0.41671526
817,0.6235198,0.37647763
818,0.5813971,0.41860026
819,0.62354034,0.376457
820,0.25723186,0.74276805
821,0.59890705,0.4010903
822,0.23582202,0.764178
823,0.6183506,0.3816467
824,0.62327754,0.37671977
825,0.2680471,0.7319527
826,0.26609418,0.7339057
827,0.5763046,0.4236928
828,0.62330776,0.37668955
829,0.2386261,0.76137394
830,0.5627514,0.43724608
831,0.58309275,0.41690463
832,0.23988193,0.76011807
833,0.61062133,0.389376
834,0.62349015,0.3765072
835,0.58170456,0.41829282
836,0.4168298,0.58316875
837,0.6229577,0.3770396
838,0.6044298,0.3955676
839,0.6230052,0.3769921
840,0.6121438,0.3878535
841,0.5849307,0.41506663
842,0.62348026,0.37651706
843,0.60306317,0.39693415
844,0.6229098,0.37708756
845,0.6227266,0.37727073
846,0.6234966,0.3765007
847,0.5425757,0.45742184
848,0.57230616,0.42769125
849,0.27519113,0.7248087
850,0.6088436,0.3911537
851,0.23312044,0.7668796
852,0.60449487,0.39550245
853,0.233151,0.7668491
854,0.2270308,0.77296937
855,0.62321985,0.37677747
856,0.62346804,0.37652934
857,0.6079861,0.39201126
858,0.6075438,0.39245346
859,0.6222931,0.3777042
860,0.62347984,0.3765175
861,0.5851973,0.41480008
862,0.24044484,0.75955516
863,0.6226844,0.3773129
864,0.611388,0.3886093
865,0.60281205,0.3971853
866,0.58789253,0.41210482
867,0.3536685,0.64633065
868,0.623553,0.37644434
869,0.3627279,0.63727117
870,0.60774845,0.39224893
871,0.59197605,0.4080214
872,0.24631163,0.75368834
873,0.52524245,0.47475526
874,0.61193347,0.38806385
875,0.60422206,0.39577526
876,0.47344616,0.52655196
877,0.24511543,0.7548846
878,0.23710328,0.7628967
879,0.62345946,0.3765379
880,0.5967819,0.4032154
881,0.5900945,0.4099028
882,0.6231721,0.37682524
883,0.55783755,0.44215998
884,0.5951286,0.40486872
885,0.6054369,0.39456043
886,0.5351059,0.4648918
887,0.5837214,0.41627595
888,0.6218086,0.37818876
889,0.5988884,0.40110895
890,0.6223561,0.37764123
891,0.61098486,0.38901246
892,0.6233721,0.37662524
893,0.58936566,0.4106317
894,0.5958476,0.40414974
895,0.59162563,0.40837175
896,0.49307963,0.5069182
897,0.6235378,0.37645957
898,0.25516492,0.744835
899,0.6227227,0.3772746
900,0.30947015,0.69052935
901,0.578686,0.42131138
902,0.2994704,0.7005293
903,0.6065957,0.39340168
904,0.2746167,0.7253831
905,0.6232487,0.37674862
906,0.26803023,0.73196965
907,0.22769055,0.77230954
908,0.58594567,0.4140517
909,0.5452254,0.4547722
910,0.6234876,0.37650973
911,0.5593764,0.44062105
912,0.6235566,0.37644073
913,0.6120362,0.38796115
914,0.6019026,0.39809474
915,0.24321024,0.75678974
916,0.62347,0.37652737
917,0.62288594,0.37711138
918,0.35321903,0.6467801
919,0.62334573,0.37665161
920,0.58609074,0.41390666
921,0.58195245,0.41804492
922,0.6229325,0.3770648
923,0.22966853,0.77033156
924,0.603652,0.39634535
925,0.53167677,0.46832085
926,0.6220483,0.37794906
927,0.6082609,0.3917364
928,0.6230213,0.37697604
929,0.28945285,0.7105468
930,0.5933224,0.40667495
931,0.6094628,0.39053455
932,0.62325037,0.37674692
933,0.5731692,0.42682824
934,0.6234208,0.3765765
935,0.62333286,0.3766645
936,0.61334413,0.38665327
937,0.46935326,0.53064495
938,0.62345815,0.37653917
939,0.26075783,0.739242
940,0.5813224,0.41867504
941,0.605163,0.39483434
942,0.58280325,0.41719413
943,0.6093591,0.39063826
944,0.25646874,0.74353117
945,0.6234145,0.3765828
946,0.23032144,0.7696786
947,0.60517466,0.3948227
948,0.353402,0.6465972
949,0.6144734,0.38552392
950,0.6199085,0.38008878
951,0.6229711,0.37702614
952,0.59056145,0.4094359
953,0.6232423,0.37675503
954,0.6032291,0.39676818
955,0.5601985,0.43979904
956,0.60730714,0.3926902
957,0.5845525,0.4154448
