,0,1,2,3,4
0,-0.02340714,0.022432128,0.0050762696,0.004640736,-0.006786732
1,-0.010001353,0.009263673,-0.0005966459,-0.00055633864,0.00027805302
2,-0.015217544,0.013836648,-0.00268874,-0.002404813,0.003090348
3,-0.022974432,0.020058924,0.012658248,0.012234994,-0.013824145
4,-0.02002991,0.018673725,0.023018911,0.022285145,-0.024685785
5,-0.015440885,0.013840411,0.011917505,0.011382327,-0.013641395
6,-0.018743886,0.017330348,0.0067940517,0.0062428624,-0.008780983
7,-0.012855118,0.012356476,-0.019926319,-0.019444462,0.020374995
8,-0.018290387,0.017408501,0.01668742,0.015891068,-0.01914848
9,-0.022897495,0.02053109,-0.0055753603,-0.0054555982,0.0049000112
10,-0.015877634,0.013558402,0.003991236,0.0041531567,-0.0037676916
11,-0.02180513,0.020292845,-0.00704624,-0.006672011,0.0077727716
12,-0.020443374,0.018626034,0.0033373546,0.0032662952,-0.0036415386
13,-0.0178439,0.015544762,0.01122599,0.010827792,-0.012552904
14,-0.01779117,0.016309397,0.007767097,0.00778183,-0.0074043702
15,-0.02300371,0.020897161,-0.00012273752,-0.0007392656,-0.0023916033
16,-0.023148272,0.020817332,0.003784484,0.0036037625,-0.004263299
17,-0.020823872,0.01929486,-0.008239971,-0.008597856,0.0064507257
18,-0.013826984,0.010570134,0.021675948,0.020874664,-0.023754917
19,-0.017278295,0.01589762,-0.01808148,-0.018178308,0.016707042
20,-0.019835554,0.019467609,-0.002370505,-0.0031203497,-0.00053488504
21,-0.017188687,0.01699299,-0.0056612263,-0.0058045047,0.004891397
22,-0.025673026,0.02464179,0.0046128333,0.0039613894,-0.006788156
23,-0.026230294,0.02503644,0.013761624,0.012965109,-0.016048871
24,-0.019182721,0.018048393,-0.003805754,-0.0035791984,0.0043060314
25,-0.02421059,0.022764295,0.021305518,0.02041107,-0.023761578
26,-0.02352448,0.02257835,0.008093432,0.007836411,-0.008984197
27,-0.025424195,0.023128914,0.019490039,0.018958153,-0.020784378
28,-0.018716155,0.01590287,0.014406032,0.013995556,-0.015582238
29,-0.015243414,0.013267626,0.012517966,0.011942786,-0.014591666
30,-0.01336196,0.011519495,0.0021250062,0.0017982486,-0.0036919795
31,-0.016138606,0.015338026,0.008047926,0.0074194805,-0.01033665
32,-0.0143600805,0.012012855,0.01801534,0.01772472,-0.018786294
33,-0.006090453,0.0049257786,0.009910738,0.00994111,-0.009764481
34,-0.008039211,0.0056500155,-0.0024795374,-0.0019744022,0.0036596216
35,-0.011955174,0.008455419,-0.0042986395,-0.003805453,0.005570692
36,-0.0039328886,0.0025459824,-0.007703533,-0.007097218,0.0092525715
37,-0.017754627,0.015548799,-0.0023384274,-0.0021006146,0.0029492006
38,-0.018977199,0.017885586,-0.009315396,-0.009519715,0.007823721
39,-0.022482133,0.022437999,0.009246734,0.008698313,-0.011212621
40,-0.020902215,0.018870093,0.013604871,0.012876116,-0.016222566
41,-0.028510068,0.027861021,0.018140659,0.01739876,-0.020438675
42,-0.023345025,0.02231914,0.033413008,0.032421857,-0.03582974
43,-0.021929314,0.020941105,0.02774934,0.026753107,-0.030419152
44,-0.020608174,0.018977776,0.02132313,0.020741073,-0.022688713
45,-0.0141564,0.0129850535,0.0041669104,0.0044608354,-0.0033710876
46,-0.026958898,0.024956886,-0.008656582,-0.00816274,0.00994163
47,-0.030685458,0.028245414,-0.0036290628,-0.0037651686,0.0026914717
48,-0.033848483,0.031904448,-0.004056275,-0.0048252284,0.0008263748
49,-0.034107793,0.03133419,0.0004384685,-0.0003778251,-0.003389167
50,-0.018232094,0.015193613,0.008298113,0.007877545,-0.009470472
51,-0.027605457,0.025778849,0.015571004,0.014567271,-0.018546905
52,-0.025379295,0.024674647,0.023785096,0.022531785,-0.027502526
53,-0.023466103,0.02157853,0.008802597,0.008173136,-0.01099802
