,0,1,2,3,4,5,6,7,8,9
0,0.009092718,-0.010012386,-0.01966248,-0.019651648,0.009126142,-0.019669518,0.009311987,0.019429337,0.008799845,-0.009895616
1,0.005918745,-0.0067202244,-0.0102691,-0.010238719,0.005948531,-0.0102979345,0.006102376,0.010057124,0.005686241,-0.006613679
2,0.003603496,-0.004166668,-0.014176996,-0.014151492,0.0036235948,-0.01417368,0.0037277222,0.013888867,0.0034507045,-0.004089267
3,0.010124266,-0.010646035,-0.02072492,-0.020645143,0.010146158,-0.020682553,0.01025347,0.020235643,0.009950746,-0.010581722
4,0.014077628,-0.014454112,-0.017797401,-0.01778718,0.014095734,-0.017798983,0.01417996,0.01753988,0.013930796,-0.014414728
5,0.011895461,-0.01268164,-0.014697304,-0.01466296,0.011928398,-0.014688276,0.012090267,0.014379952,0.011635804,-0.012585472
6,0.010121022,-0.011091156,-0.01656787,-0.016550917,0.010160786,-0.016569138,0.010357244,0.01632258,0.009812254,-0.010968991
7,-0.0033823047,0.0027262291,-0.012718749,-0.012702136,-0.0033597522,-0.012715105,-0.0032419001,0.012556057,-0.0035484857,0.0028189719
8,0.014452717,-0.015364726,-0.016056048,-0.016041344,0.014491478,-0.016061874,0.01468059,0.015892608,0.014146276,-0.015253685
9,0.005288458,-0.006331791,-0.020152003,-0.020129265,0.0053284294,-0.020198604,0.0055301487,0.019785993,0.0049831183,-0.0061945315
10,0.0070735873,-0.0076455274,-0.0155384755,-0.015513982,0.0070954477,-0.015540374,0.007206824,0.01516313,0.006907915,-0.0075694807
11,0.00063394185,-0.0010467098,-0.018603656,-0.018586755,0.00064818945,-0.018607441,0.0007221318,0.018374927,0.00052960543,-0.000988552
12,0.0054138815,-0.0058000437,-0.018490491,-0.018460346,0.0054310174,-0.018490959,0.005507128,0.018153965,0.005292206,-0.0057516084
13,0.009987349,-0.010669153,-0.017447263,-0.017425302,0.010015691,-0.017448954,0.010155598,0.017045198,0.009761031,-0.010586061
14,0.0052402313,-0.0053755455,-0.01630883,-0.016290378,0.0052464134,-0.01630801,0.005270664,0.015991304,0.005200873,-0.005357391
15,0.0074270195,-0.008480519,-0.020987544,-0.020956993,0.0074698133,-0.02098921,0.007685238,0.020551994,0.007083961,-0.008351549
