,0,1,2
0,-0.01105498,0.005954773,-0.0062495484
1,-0.007927679,0.005040707,-0.0057230545
2,-0.008968973,0.0047233575,-0.0046995636
3,-0.01096372,0.005930574,-0.006176251
4,-0.01011089,0.0064350516,-0.007368643
5,-0.009215548,0.006106798,-0.007197287
6,-0.010041452,0.006069258,-0.006845047
7,-0.008851669,0.0035423941,-0.0025357404
8,-0.009790179,0.006586828,-0.007903048
9,-0.011079755,0.0054921624,-0.0054043243
10,-0.009385568,0.005340857,-0.005685183
11,-0.0106668025,0.0043408866,-0.0032884607
12,-0.010654755,0.004998313,-0.0045213783
13,-0.010180023,0.0057112877,-0.006081355
14,-0.009846059,0.0048281406,-0.004461647
15,-0.011719569,0.0056940755,-0.005583374
16,-0.011517271,0.005357134,-0.004939139
17,-0.011039534,0.0049892785,-0.004594138
18,-0.009060747,0.0061572213,-0.0074064266
19,-0.010014128,0.0040738042,-0.0032582013
20,-0.010876964,0.0052199764,-0.005011754
21,-0.010133108,0.004722416,-0.004320316
22,-0.011900688,0.0058633424,-0.005751102
23,-0.012070157,0.006480527,-0.0068292273
24,-0.010600905,0.0046187714,-0.0038672127
25,-0.011652408,0.007406572,-0.008764902
26,-0.011259066,0.0062317336,-0.006669486
27,-0.011802912,0.0067675775,-0.007387213
28,-0.010323,0.00634531,-0.00727249
29,-0.009144534,0.006613857,-0.0082705775
30,-0.008683083,0.005489277,-0.006335634
31,-0.00936078,0.0058165616,-0.006642965
32,-0.0086777685,0.006467379,-0.00808195
33,-0.0067876237,0.0045168623,-0.005040239
34,-0.0074346988,0.0039675315,-0.0038076562
35,-0.008324024,0.003603513,-0.0027421338
36,-0.006363102,0.0031866946,-0.0027202205
37,-0.009696289,0.00404699,-0.0030078227
38,-0.010470461,0.005197028,-0.0051012323
39,-0.011198178,0.0066932333,-0.0075518433
40,-0.01075312,0.007530762,-0.009453481
41,-0.012309188,0.007563209,-0.00875308
42,-0.010948334,0.008141016,-0.010278173
43,-0.010716755,0.007839774,-0.00990791
44,-0.010600121,0.006638462,-0.00761366
45,-0.0091083255,0.005034404,-0.0051623364
46,-0.012231573,0.0040239175,-0.002026293
47,-0.013500324,0.005792849,-0.005016181
48,-0.014292152,0.0066945236,-0.0065309466
49,-0.014295296,0.006377074,-0.0058948337
50,-0.010223248,0.005447609,-0.005649892
51,-0.0124024805,0.006951967,-0.0076443553
52,-0.011718729,0.007851324,-0.00960577
53,-0.01166987,0.0065993248,-0.007286429
54,-0.008214723,0.0061095296,-0.0075678783
55,-0.010025683,0.0065201297,-0.007855868
56,-0.009965733,0.0065892735,-0.007929649
57,-0.009542395,0.0057445117,-0.0066009746
58,-0.011458182,0.005352025,-0.005114485
59,-0.011149672,0.006643219,-0.007524368
60,-0.011816204,0.0059866454,-0.0061061955
61,-0.013727177,0.006513021,-0.0063541946
62,-0.010201787,0.0042801374,-0.003430357
63,-0.00911543,0.0062368745,-0.0075312913
64,-0.008225628,0.006725055,-0.008737883
65,-0.00815995,0.00562222,-0.0066671814
66,-0.012470538,0.0031186435,-0.0003333678
67,-0.008515796,0.0059085223,-0.0070994208
68,-0.007827437,0.004744884,-0.0051228176
69,-0.010079798,0.0059018875,-0.0063352003
70,-0.008541271,0.005497231,-0.0062811845
71,-0.007668847,0.0045928643,-0.0049392604
72,-0.009813661,0.0058118175,-0.006446755
73,-0.013518406,0.0062912754,-0.005912492
74,-0.010343666,0.0063714483,-0.0072145713
75,-0.012654775,0.005785307,-0.005180401
76,-0.0123558575,0.0074497377,-0.008521566
77,-0.010749091,0.005915799,-0.006333827
78,-0.009566227,0.0065943487,-0.007850187
79,-0.009703353,0.0059961868,-0.006802621
80,-0.01412759,0.006898536,-0.0069619706
81,-0.014904745,0.006497159,-0.005915411
82,-0.01388763,0.0067410497,-0.0064853453
83,-0.009991294,0.005325789,-0.005426721
84,-0.013076088,0.0075860117,-0.008576985
85,-0.012400924,0.0067740213,-0.007283566
86,-0.009096999,0.005555301,-0.0062838793
87,-0.012057683,0.00535853,-0.004804967
88,-0.010973564,0.006689849,-0.0077003944
89,-0.011541072,0.0068274974,-0.00781171
90,-0.013589778,0.0065563084,-0.006438972
91,-0.009771715,0.00516579,-0.005427551
92,-0.00915194,0.0057731494,-0.006788602
93,-0.010632446,0.007157327,-0.008730764
94,-0.008054785,0.006566154,-0.008585291
95,-0.007354095,0.007438051,-0.010512898
96,-0.009849991,0.0046873777,-0.00415028
97,-0.011682301,0.005051666,-0.004236427
98,-0.012571336,0.005823254,-0.0053364504
99,-0.0085501745,0.005969918,-0.0071247066
100,-0.0077165533,0.006769841,-0.009023308
101,-0.0074370317,0.0053990353,-0.0066001704
102,-0.00962173,0.0050393743,-0.0049691405
103,-0.011732744,0.004748372,-0.0035780342
104,-0.011597898,0.004757244,-0.0036960593
105,-0.013468669,0.005867747,-0.0051100724
106,-0.011735753,0.005163428,-0.0043454454
107,-0.011803356,0.0045748763,-0.0032733302
108,-0.008741455,0.006411231,-0.007976221
