,0,1,2,3
0,0.02230933,0.004256756,-0.02334909,0.0031679133
1,0.009976853,-0.003316946,-0.010712656,-0.0031374844
2,0.014110461,-0.005693184,-0.015515962,-0.004975989
3,0.020123124,0.015627675,-0.023102593,0.014578663
4,0.018747376,0.030330153,-0.020143278,0.0287322
5,0.014121627,0.013659985,-0.015761899,0.012466038
6,0.017356336,0.006911134,-0.018843517,0.005565695
7,0.012768692,-0.029715955,-0.0132639175,-0.02876115
8,0.017518109,0.020134624,-0.018457826,0.0183099
9,0.020702066,-0.011061803,-0.023106586,-0.010812974
10,0.013638104,0.002601529,-0.015986057,0.0032528995
11,0.020119363,-0.011297911,-0.021731844,-0.010380591
12,0.018673746,0.002653468,-0.02052862,0.0025698307
13,0.015689049,0.013531831,-0.017997531,0.012771772
14,0.016187519,0.009947993,-0.017704137,0.01019199
15,0.020738415,-0.002813841,-0.022868857,-0.00452229
16,0.020703973,0.0044220705,-0.023096189,0.0041532377
17,0.019405054,-0.012694127,-0.02099619,-0.01379884
18,0.010797405,0.028547887,-0.014066947,0.026813947
19,0.01588357,-0.026968291,-0.017357053,-0.027639547
20,0.019895034,-0.005721366,-0.020322192,-0.008019726
21,0.017592048,-0.009086399,-0.017830161,-0.009522651
22,0.02450705,0.004363857,-0.025637355,0.0027932578
23,0.024848288,0.017569955,-0.02613282,0.015673125
24,0.018296199,-0.0065597757,-0.019473746,-0.0058239265
25,0.022798264,0.026752451,-0.024299175,0.024918512
26,0.02263657,0.008963446,-0.023666475,0.008705767
27,0.023107832,0.024606427,-0.025520358,0.023656504
28,0.016224155,0.017262321,-0.019076137,0.0165086
29,0.0137355765,0.013915952,-0.015746279,0.0127186645
30,0.011823664,0.00024625755,-0.013695243,-0.0006237353
31,0.015586974,0.00874527,-0.016425617,0.0071035046
32,0.012244405,0.021573383,-0.014619211,0.021323282
33,0.005494781,0.01216037,-0.0066411286,0.012426622
34,0.0060291328,-0.0050479104,-0.008424653,-0.0037322107
35,0.008708244,-0.007373591,-0.012204518,-0.006180154
36,0.0031101422,-0.0123262135,-0.0044276253,-0.010809484
37,0.015725927,-0.005069621,-0.017976828,-0.0045373174
38,0.018106034,-0.015586491,-0.01924694,-0.016338095
39,0.022792408,0.009899893,-0.022898432,0.008675787
40,0.018975046,0.014538152,-0.021082306,0.013065546
41,0.027681258,0.021424174,-0.028432393,0.019960972
42,0.022111977,0.041745324,-0.023192791,0.039856017
43,0.020800117,0.034287248,-0.021828992,0.03233799
44,0.018958291,0.026850898,-0.020607892,0.025759216
45,0.013240983,0.0034572636,-0.014424549,0.0046554557
