,0,1
0,0.2840434,-0.2965754
1,-0.33016595,0.32111105
2,-0.23618612,0.22778691
3,-0.33005875,0.3208358
4,0.28435117,-0.29687735
5,-0.20506352,0.19676661
6,-0.25629336,0.24800992
7,0.28245613,-0.29503372
8,-0.23918472,0.23077677
9,0.2839042,-0.29643896
10,0.21073492,-0.22396517
11,-0.32939133,0.3200236
12,0.21745795,-0.23067097
13,0.2788045,-0.29148573
14,-0.3300761,0.32062274
15,-0.25536656,0.24685845
16,0.21589357,-0.22910413
17,-0.19127247,0.18301345
18,-0.3298056,0.3204674
19,0.21300608,-0.22622591
20,-0.23511362,0.2267213
21,0.28143314,-0.29403505
22,0.21251832,-0.22574198
23,-0.32994622,0.32054716
24,0.28462747,-0.2971559
25,-0.25916016,0.25059962
26,-0.22003904,0.2116885
27,0.28302693,-0.29559067
28,-0.21163024,0.20331089
29,0.21801826,-0.23124139
30,0.2840156,-0.2965546
31,-0.33029327,0.32074702
32,0.28394148,-0.29648045
33,-0.32966143,0.32002223
34,-0.24950643,0.24100485
35,0.28421253,-0.29677907
36,0.22098261,-0.23416854
37,-0.21919584,0.21085279
38,0.21962196,-0.23281151
39,-0.33017412,0.32066545
40,0.28382856,-0.29638058
41,-0.2417282,0.23328291
42,0.2807034,-0.29332945
43,-0.18080257,0.17256472
44,-0.3304029,0.32097483
45,-0.32865718,0.31939778
46,-0.32982013,0.32021987
47,-0.2338565,0.22546056
48,-0.25242794,0.2438469
49,0.2142651,-0.22747868
50,0.22109027,-0.23427059
51,0.22074567,-0.23393215
52,0.21449646,-0.22770888
53,0.20937811,-0.22261398
54,-0.32988024,0.3205157
55,-0.23928562,0.23086832
56,0.21052541,-0.22375526
57,-0.21060723,0.20228629
58,0.21336359,-0.22658156
59,0.28282294,-0.29539934
60,-0.25014135,0.24157062
61,-0.24389642,0.23539406
62,-0.2478866,0.23934497
63,-0.23426132,0.22588836
64,0.22121193,-0.23439829
65,0.2160893,-0.22929452
66,-0.32906905,0.3197178
67,-0.22934623,0.22092906
68,-0.23610578,0.22771534
69,0.21335079,-0.22657074
