,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,-0.0058996156,0.010381446,0.0055771433,0.010467484,0.0055148136,-0.006247201,-0.011423378,0.010480501,-0.005991526,0.0056454334,0.01045027,0.0038314248,-0.011423673,0.005582753,-0.0059860325,0.010388682,0.005536253,0.010444013,0.0037065118,-0.0114247855,0.0056402525,0.005832479,-0.0058886623,-0.005102407,-0.011423071,0.0055561373,0.00533586,0.010473299,-0.011409003,-0.005301257,-0.0060062506,0.0059112106,-0.011426558,0.010451487,-0.011348086,-0.0059941094,0.010414046,0.0053263484,-0.005972272,0.0060243253,0.005725149,0.010409318,-0.005298714,0.005300717,0.010402353,-0.0059707724,0.010390029,-0.01142152,0.01008469,-0.011439819,0.0035331966,-0.011439276,-0.0058627836,0.010334813,-0.0063868524,0.005313119,0.004363572,0.0056378418,-0.005873999,0.0057896925,-0.011412374,-0.0059823873,-0.011327903,0.005679391,-0.005968026,-0.0114235515,-0.005489364,0.005472553,-0.0060062213,-0.005645203
1,-0.0054943576,0.0077237496,0.0051727835,0.007784317,0.0051254244,-0.005750673,-0.008081486,0.007795174,-0.005558879,0.0051983492,0.0077759395,0.0039268546,-0.0080744345,0.0051772175,-0.005543215,0.0077327862,0.0051408703,0.0077729514,0.0037901164,-0.008079918,0.005214506,0.005352245,-0.0054860725,-0.0049006394,-0.008080528,0.005160849,0.0049934094,0.007793133,-0.008067801,-0.0050426717,-0.0055761687,0.005391505,-0.0080836285,0.007775512,-0.0080313105,-0.005560127,0.007756485,0.004992014,-0.0055426667,0.0054997443,0.005278994,0.00774412,-0.005023037,0.004973626,0.0077440394,-0.005529331,0.007740471,-0.008081452,0.0075142505,-0.008096876,0.0036754948,-0.008097918,-0.0054662637,0.0076914425,-0.005889101,0.004982598,0.0042952783,0.005220779,-0.0054733916,0.0053260573,-0.008075551,-0.005552993,-0.008001717,0.0052516004,-0.0055630235,-0.008095787,-0.0051681176,0.005094774,-0.00557675,-0.005292369
2,-0.004616904,0.008592919,0.0041637733,0.008663697,0.0041261935,-0.004828613,-0.009230562,0.008676513,-0.0046633375,0.0042002653,0.00865347,0.003187597,-0.009224105,0.004163827,-0.0046733613,0.008601494,0.004141148,0.008648392,0.0031064462,-0.009228487,0.0041792477,0.0043011624,-0.0046141054,-0.0041563585,-0.009231069,0.0041411975,0.00402364,0.008675855,-0.009216391,-0.0042659817,-0.0046884525,0.004343665,-0.009234009,0.008655252,-0.0091746,-0.0046827593,0.008629555,0.0040183417,-0.004665958,0.004405224,0.00424417,0.008612336,-0.0042421073,0.0040042144,0.008612093,-0.0046636635,0.008609147,-0.009230739,0.008340726,-0.0092322305,0.002973005,-0.009248346,-0.0045979833,0.008550866,-0.0049347864,0.004011367,0.003478148,0.0041884044,-0.004602283,0.0042606103,-0.009225264,-0.004664105,-0.009147593,0.004227784,-0.004675282,-0.009241069,-0.0043694647,0.0040929164,-0.004687019,-0.0044667735
3,-0.0058666156,0.010236881,0.0055751544,0.010339792,0.0055162148,-0.006166035,-0.011419725,0.010354502,-0.0059370035,0.0056218957,0.010315914,0.0039928886,-0.011416005,0.0055769044,-0.0059332144,0.010243213,0.0055423183,0.010312218,0.003854257,-0.011414965,0.005633183,0.0057962234,-0.0058384184,-0.0051428066,-0.011422141,0.0055580977,0.0053565097,0.010349182,-0.011408895,-0.005319867,-0.00593903,0.005859363,-0.011429934,0.010314725,-0.011327623,-0.0059459885,0.010285159,0.0053450433,-0.0059216805,0.0059672366,0.0056892196,0.01026778,-0.005293346,0.005309915,0.0102628255,-0.005918001,0.010257155,-0.01142278,0.009866788,-0.011444763,0.00368089,-0.011446016,-0.0058186916,0.010162485,-0.006303104,0.0053380826,0.004465588,0.0056323474,-0.0058293543,0.005755976,-0.011411107,-0.0059279306,-0.0112959575,0.005684105,-0.0059266617,-0.011440728,-0.0054825586,0.0054626423,-0.0059479545,-0.0056185117
4,-0.006895303,0.009536588,0.0068431026,0.009612856,0.0067745186,-0.007224677,-0.010443242,0.009624907,-0.006970551,0.006896295,0.0095923655,0.004924093,-0.010440974,0.00683427,-0.0069739786,0.009541239,0.006799122,0.009590329,0.004724233,-0.010437401,0.006897185,0.007081425,-0.006864241,-0.006066522,-0.010440052,0.006820546,0.0065842792,0.009619733,-0.010429877,-0.0062536504,-0.006991975,0.0071578613,-0.010452258,0.009597616,-0.010379989,-0.0069729146,0.009571409,0.0065705753,-0.006962031,0.0072666043,0.006977413,0.009559909,-0.006245052,0.0065500364,0.009556529,-0.006941791,0.009551828,-0.0104409605,0.009262091,-0.01045981,0.0045398157,-0.010453659,-0.0068362,0.009487379,-0.007373247,0.006563827,0.0055166916,0.0068953065,-0.006867455,0.007043779,-0.01043429,-0.006972619,-0.010353234,0.0069612507,-0.00697573,-0.010454836,-0.0064585702,0.006730755,-0.006992362,-0.0066236835
5,-0.00674759,0.008777972,0.0066230237,0.008866922,0.006557189,-0.007091751,-0.009481772,0.008881862,-0.0068312054,0.0066833682,0.008853643,0.0047933916,-0.009485951,0.006620178,-0.0068262867,0.008791956,0.006565171,0.0088469945,0.0046290625,-0.009469103,0.0066886335,0.0068691005,-0.006725849,-0.0059105786,-0.00948653,0.0065965103,0.0063585183,0.008874058,-0.009457103,-0.00611746,-0.006849181,0.0069496087,-0.009490458,0.008855242,-0.0094188675,-0.006840923,0.008828049,0.006361374,-0.0068133967,0.007061745,0.006762153,0.008804908,-0.006106754,0.006342798,0.008811919,-0.0068123024,0.008799797,-0.009470173,0.008506736,-0.0095032435,0.0044383113,-0.009505448,-0.006688228,0.008739281,-0.0072496496,0.006358642,0.0053461907,0.0066674864,-0.0067100646,0.006824177,-0.00947753,-0.006819195,-0.009392476,0.006743605,-0.00682305,-0.009503702,-0.0063079866,0.006509719,-0.006845347,-0.006467094
6,-0.0064422637,0.009510189,0.00620749,0.009586362,0.0061485358,-0.0067921453,-0.010340748,0.009596272,-0.0065277983,0.0062758313,0.009566908,0.00439846,-0.010343017,0.006213711,-0.0065140584,0.009511508,0.0061697997,0.009562561,0.0042405184,-0.010344234,0.006281678,0.006464353,-0.0064087943,-0.0056009167,-0.010336221,0.006190642,0.005939455,0.009585946,-0.010329359,-0.0058108387,-0.0065457495,0.006548978,-0.01034728,0.009570234,-0.010278768,-0.0065294406,0.009546027,0.0059458697,-0.006505672,0.006669304,0.006345949,0.009516082,-0.0057939086,0.005906991,0.009527285,-0.006507385,0.009511435,-0.010341123,0.009228687,-0.010352135,0.0040574134,-0.010364544,-0.00638356,0.009460381,-0.0069535356,0.005933363,0.0049348385,0.0062783845,-0.006413613,0.006422829,-0.010338002,-0.0065091443,-0.0102532515,0.006338651,-0.006512516,-0.010357856,-0.005992813,0.006093603,-0.0065411124,-0.006162091
7,-0.0028113173,0.008588495,0.002014686,0.008651073,0.0019928885,-0.0029160494,-0.00904,0.008660682,-0.002830684,0.002028275,0.00863848,0.0017526946,-0.009036701,0.0020057429,-0.0028387795,0.008589573,0.0020074316,0.008634617,0.0017312815,-0.009028431,0.0020282269,0.0020645272,-0.0028032025,-0.0026408276,-0.009036518,0.0019987593,0.001966516,0.008657384,-0.009029474,-0.002662485,-0.002845759,0.0020913447,-0.0090411985,0.008634401,-0.008989718,-0.0028387336,0.008618243,0.0019503718,-0.0028351939,0.0021221095,0.002033196,0.0086090155,-0.0026750364,0.001959873,0.008606514,-0.0028125902,0.008602077,-0.009037905,0.008363409,-0.00905047,0.0017094706,-0.009044214,-0.0028053308,0.008538338,-0.0029600048,0.0019636499,0.0018121221,0.0020292893,-0.0028083439,0.0020375936,-0.009033985,-0.0028174561,-0.008959665,0.0020412449,-0.0028209456,-0.009048521,-0.0027177606,0.0019919118,-0.0028248602,-0.002752391
8,-0.007325456,0.009283356,0.0072804093,0.00935872,0.007203687,-0.0077322386,-0.010064062,0.009372446,-0.007413323,0.007342095,0.009329847,0.0051157046,-0.010070542,0.00728606,-0.007420996,0.009289097,0.0072372346,0.009338694,0.0049135503,-0.010063128,0.0073645376,0.00758066,-0.0073044365,-0.006353489,-0.010069471,0.007246523,0.006979103,0.00936318,-0.010057019,-0.0065948507,-0.007445401,0.0076607685,-0.010064422,0.009346017,-0.010008601,-0.0074381414,0.009317448,0.0069771535,-0.0073985313,0.007806345,0.007452048,0.009292577,-0.0065797474,0.006952576,0.009291184,-0.00740529,0.009296094,-0.010070685,0.009013787,-0.010087796,0.004695037,-0.010084772,-0.007263458,0.009237988,-0.007912414,0.0069665546,0.005768662,0.007351957,-0.0072966376,0.0075222407,-0.010059312,-0.007415173,-0.009983459,0.007429248,-0.0074116974,-0.010084479,-0.0068134353,0.0071552363,-0.0074454267,-0.007004264
9,-0.0051859133,0.010370712,0.004721129,0.0104649495,0.0046746214,-0.005483532,-0.011463911,0.010479868,-0.005268194,0.0047710105,0.010445689,0.0033159214,-0.011473652,0.004723404,-0.005243747,0.010365893,0.0047001946,0.010438201,0.0032005936,-0.011463224,0.004789197,0.0049486314,-0.0051783053,-0.004517934,-0.0114709735,0.004713784,0.0045128195,0.010473712,-0.011458945,-0.0046753148,-0.005282291,0.005017694,-0.011481432,0.010449885,-0.011396432,-0.005275543,0.010415886,0.0045080697,-0.0052532693,0.0051202574,0.004855038,0.01039796,-0.0046582147,0.004487171,0.010389121,-0.0052528963,0.01038942,-0.011476985,0.0100220945,-0.011506516,0.0030648592,-0.01148646,-0.0051571694,0.010309973,-0.0056211967,0.0045087766,0.0037011364,0.004759859,-0.0051730517,0.0049111187,-0.011472652,-0.0052610883,-0.01136164,0.0048266393,-0.005253231,-0.011495004,-0.0048289252,0.004636074,-0.0052829944,-0.0049686925
