,0
0,0.5276397466659546
1,0.805590033531189
2,0.9037266969680786
3,0.9354037046432495
4,0.9475155472755432
5,0.9549689292907715
6,0.960869550704956
7,0.9645962715148926
8,0.9664596319198608
9,0.9680124521255493
10,0.9692546725273132
11,0.9686335325241089
12,0.9686335325241089
13,0.967391312122345
14,0.9670807719230652
15,0.967391312122345
16,0.9677018523216248
17,0.9670807719230652
18,0.9667701721191406
19,0.9667701721191406
20,0.9667701721191406
21,0.966149091720581
22,0.9621118307113647
23,0.9655279517173767
24,0.9658384919166565
25,0.9658384919166565
26,0.9652174115180969
27,0.9649068117141724
28,0.9649068117141724
29,0.9649068117141724
30,0.9652174115180969
31,0.9642857313156128
32,0.9645962715148926
33,0.9649068117141724
34,0.9655279517173767
35,0.9649068117141724
36,0.9645962715148926
37,0.9652174115180969
38,0.9639751315116882
39,0.9645962715148926
40,0.9642857313156128
41,0.9621118307113647
42,0.9642857313156128
43,0.9642857313156128
44,0.9642857313156128
45,0.9636645913124084
46,0.9639751315116882
47,0.9642857313156128
48,0.9642857313156128
49,0.9642857313156128
50,0.9630434513092041
51,0.9642857313156128
52,0.9642857313156128
53,0.9642857313156128
54,0.9642857313156128
55,0.9642857313156128
56,0.9639751315116882
57,0.9639751315116882
58,0.9639751315116882
59,0.9639751315116882
60,0.9636645913124084
61,0.9636645913124084
62,0.9630434513092041
63,0.9627329111099243
64,0.9621118307113647
65,0.9624223709106445
66,0.9621118307113647
67,0.9621118307113647
68,0.9621118307113647
69,0.9621118307113647
70,0.9621118307113647
71,0.9618012309074402
72,0.9618012309074402
73,0.9618012309074402
74,0.9618012309074402
75,0.9596273303031921
76,0.9621118307113647
77,0.9621118307113647
78,0.9621118307113647
79,0.9624223709106445
